Date,IA confirmed,ID confirmed,IA deaths,ID deaths
2020-09-07,70332,33667,1167,385
2020-09-08,70659,33981,1173,389
2020-09-09,71137,34310,1185,406
2020-09-10,71956,34617,1205,407
2020-09-11,72754,34951,1208,412
2020-09-12,72754,35167,1208,415
2020-09-13,74361,35279,1218,415
2020-09-14,74767,35532,1221,419
2020-09-15,75275,35808,1233,423
2020-09-16,76050,36093,1234,429
2020-09-17,76968,36489,1248,434
2020-09-18,78227,36959,1258,438
2020-09-19,79128,37247,1264,441
2020-09-20,80009,37491,1265,442
2020-09-21,80633,37901,1266,445
2020-09-22,81150,38347,1285,451
2020-09-23,82006,38743,1293,454
2020-09-24,83347,39234,1299,457
2020-09-25,84433,39757,1303,458
2020-09-26,85425,40296,1311,460
2020-09-27,86229,40296,1315,460
2020-09-28,86840,40923,1317,460
2020-09-29,87626,40923,1325,460
2020-09-30,88555,42048,1342,469
2020-10-01,89612,42559,1358,472
2020-10-02,90754,43238,1367,474
2020-10-03,91861,43702,1377,480
2020-10-04,92545,43702,1381,480
2020-10-05,92901,44422,1388,487
2020-10-06,93423,45082,1399,492
2020-10-07,94342,45753,1414,500
2020-10-08,95857,46426,1419,503
2020-10-09,97041,47088,1433,506
2020-10-10,98356,47701,1454,507
2020-10-11,99620,48066,1460,507
2020-10-12,100052,48663,1464,510
2020-10-13,100632,49247,1481,512
2020-10-14,101812,49892,1492,516
2020-10-15,103222,50610,1505,517
2020-10-16,104552,51704,1521,523
2020-10-17,106147,52582,1526,529
2020-10-18,107062,52582,1528,529
2020-10-19,107570,53790,1534,531
2020-10-20,108297,54663,1548,534
2020-10-21,109573,55650,1579,546
2020-10-22,110974,56600,1594,553
2020-10-23,112555,57673,1617,562
2020-10-24,114463,58694,1629,571
2020-10-25,115775,58694,1634,571
2020-10-26,116451,60041,1636,579
2020-10-27,117629,60923,1658,584
2020-10-28,119443,60923,1680,584
2020-10-29,121913,62746,1691,614
2020-10-30,124534,63810,1705,625
2020-10-31,127356,64608,1715,628
2020-11-01,130239,65088,1716,629
2020-11-02,131713,65845,1733,631
2020-11-03,133229,67024,1755,646
2020-11-04,136047,68314,1781,663
2020-11-05,140609,69579,1801,670
2020-11-06,144142,70909,1815,678
2020-11-07,144142,72312,1815,682
2020-11-08,148391,72961,1829,685
2020-11-09,156816,74227,1845,697
2020-11-10,161257,75428,1872,713
2020-11-11,166021,77121,1895,732
2020-11-12,170358,78278,1925,746
2020-11-13,175423,79795,1944,750
2020-11-14,180253,81314,1969,750
2020-11-15,184684,82243,1982,758
2020-11-16,187020,83344,1988,762
2020-11-17,190583,85125,2021,798
2020-11-18,194479,86435,2061,812
2020-11-19,198674,87977,2099,835
