Date,UT confirmed,VA confirmed,UT deaths,VA deaths
2020-11-08,132633,192166,659,3700
2020-11-09,134763,193468,661,3706
2020-11-10,137523,194906,672,3717
2020-11-11,139851,196500,678,3733
2020-11-12,143642,198022,687,3751
2020-11-13,146117,199258,702,3774
2020-11-14,151143,200792,711,3787
2020-11-15,153874,201951,720,3788
2020-11-16,155859,204614,724,3798
2020-11-17,159071,206751,733,3827
2020-11-18,162159,208827,742,3855
2020-11-19,166114,210780,759,3891
2020-11-20,170677,213323,775,3907
2020-11-21,174056,215671,775,3907
2020-11-22,177192,217785,794,3935
2020-11-23,179491,221023,796,3939
2020-11-24,182212,223568,809,3973
2020-11-25,184031,226286,835,4003
2020-11-26,184512,228882,835,4023
2020-11-27,190126,230426,850,4038
2020-11-28,192217,233600,863,4051
2020-11-29,193815,235918,868,4055
2020-11-30,195802,237813,871,4059
2020-12-01,198354,240043,891,4087
2020-12-02,202288,242456,907,4107
2020-12-03,206293,244482,916,4142
2020-12-04,209348,247352,924,4158
2020-12-05,212869,251087,939,4194
2020-12-06,215515,254949,940,4197
2020-12-07,217722,258713,949,4205
2020-12-08,220093,262609,972,4258
2020-12-09,222681,267100,995,4280
2020-12-10,226043,271037,1016,4334
2020-12-11,228242,274437,1025,4369
2020-12-12,231946,278610,1040,4409
2020-12-13,234029,281903,1056,4411
2020-12-14,235953,285132,1063,4413
2020-12-15,237916,288308,1078,4467
2020-12-16,240804,292236,1099,4505
2020-12-17,244018,299388,1128,4598
2020-12-18,246649,302972,1141,4643
2020-12-19,249123,302971,1149,4642
2020-12-20,251138,306848,1156,4649
2020-12-21,251138,310886,1156,4652
2020-12-22,251138,314479,1156,4703
2020-12-23,251138,319131,1156,4760
2020-12-24,251138,323915,1156,4790
2020-12-25,251138,327993,1156,4818
2020-12-26,251138,329576,1156,4835
2020-12-27,251138,333574,1156,4852
2020-12-28,266679,336173,1221,4861
2020-12-29,269381,340297,1237,4920
2020-12-30,272187,344344,1258,4983
2020-12-31,276732,349568,1271,5029
2021-01-01,276833,354761,1274,5079
2021-01-02,282094,358754,1296,5115
2021-01-03,283893,363744,1303,5121
2021-01-04,286373,367486,1307,5130
2021-01-05,288965,371913,1314,5190
2021-01-06,292872,377300,1332,5226
2021-01-07,297514,382678,1362,5275
2021-01-08,301173,387917,1384,5312
2021-01-09,303834,393715,1393,5381
2021-01-10,306100,398856,1395,5383
2021-01-11,307551,403373,1399,5393
2021-01-12,309764,407924,1425,5477
2021-01-13,314817,412545,1450,5551
2021-01-14,317638,417833,1462,5625
2021-01-15,320128,422621,1474,5655
2021-01-16,322254,429390,1487,5704
2021-01-17,323896,439303,1494,5728
2021-01-18,324977,446533,1501,5737
2021-01-19,326326,451069,1508,5797
2021-01-20,328477,455594,1518,5860
2021-01-21,330549,459584,1548,5938
