Date,PA confirmed,RI confirmed,PA deaths,RI deaths
2020-10-07,166552,24482,8272,1104
2020-10-08,169308,24482,8272,1104
2020-10-09,171050,24482,8272,1104
2020-10-10,171050,24482,8272,1104
2020-10-11,172216,24482,8368,1104
2020-10-12,173304,24482,8368,1104
2020-10-13,174646,24482,8368,1104
2020-10-14,175922,25698,8411,1116
2020-10-15,177520,25698,8432,1116
2020-10-16,179086,25698,8457,1116
2020-10-17,180943,25698,8466,1116
2020-10-18,180943,25698,8466,1116
2020-10-19,183315,25698,8500,1116
2020-10-20,184872,25698,8533,1116
2020-10-21,186297,27274,8562,1139
2020-10-22,188360,27274,8588,1139
2020-10-23,190579,27274,8625,1139
2020-10-24,192622,27274,8654,1139
2020-10-25,194288,27274,8666,1139
2020-10-26,195694,27274,8673,1139
2020-10-27,198446,27274,8696,1139
2020-10-28,200674,29779,8718,1166
2020-10-29,202876,29779,8762,1166
2020-10-30,205517,29779,8784,1166
2020-10-31,208027,29779,8812,1166
2020-11-01,209936,29779,8817,1166
2020-11-02,211996,29779,8823,1166
2020-11-03,214871,29779,8823,1166
2020-11-04,217666,32657,8890,1189
2020-11-05,220566,32657,8937,1189
2020-11-06,223950,32657,8975,1189
2020-11-07,227985,32657,9015,1189
2020-11-08,230894,32657,9020,1189
2020-11-09,234296,32657,9024,1189
2020-11-10,238657,32657,9086,1189
2020-11-11,243368,36375,9145,1213
2020-11-12,248856,36375,9193,1213
2020-11-13,254386,36375,9224,1213
2020-11-14,259938,36375,9274,1213
2020-11-15,265135,36375,9312,1213
2020-11-16,269613,36375,9325,1213
2020-11-17,275513,36375,9355,1213
2020-11-18,281852,41869,9465,1244
2020-11-19,288978,41869,9581,1244
2020-11-20,295786,41869,9689,1244
2020-11-21,302564,41869,9689,1244
2020-11-22,309639,41869,9842,1244
2020-11-23,314401,41869,9870,1244
2020-11-24,321070,41869,9951,1244
2020-11-25,327829,48325,10095,1277
2020-11-26,336254,48325,10213,1277
2020-11-27,343614,48325,10234,1277
2020-11-28,351667,48325,10275,1277
2020-11-29,357195,48325,10351,1277
2020-11-30,361478,48325,10383,1277
2020-12-01,367140,48325,10563,1277
2020-12-02,375431,54126,10757,1339
2020-12-03,386831,54126,10944,1339
2020-12-04,398478,54126,11113,1339
2020-12-05,411161,54126,11262,1339
2020-12-06,419718,54126,11331,1339
2020-12-07,426040,54126,11373,1339
2020-12-08,436170,54126,11542,1339
2020-12-09,444857,62870,11762,1413
2020-12-10,456640,62870,12010,1413
2020-12-11,470034,62870,12235,1413
2020-12-12,481118,62870,12436,1413
2020-12-13,491735,62870,12564,1413
2020-12-14,499647,62870,12620,1413
2020-12-15,509320,62870,12890,1413
2020-12-16,519369,71054,13168,1511
2020-12-17,529335,71054,13392,1511
2020-12-18,538655,71054,13608,1511
2020-12-19,548455,71054,13825,1511
2020-12-20,555648,71054,13924,1511
2020-12-21,563588,71054,13981,1511
2020-12-22,571551,71054,14212,1511
2020-12-23,581026,77097,14442,1627
2020-12-24,590386,77097,14718,1627
2020-12-25,597560,77097,14853,1627
2020-12-26,605040,77097,14879,1627
2020-12-27,610013,77097,15010,1627
2020-12-28,613761,77097,15086,1627
2020-12-29,622349,77097,15353,1627
2020-12-30,631333,81951,15672,1712
2020-12-31,640305,81951,15978,1712
2021-01-01,648026,81951,16214,1712
2021-01-02,657227,81951,16239,1712
2021-01-03,661795,81951,16295,1712
2021-01-04,665097,81951,16361,1712
2021-01-05,673915,81951,16546,1712
2021-01-06,683389,88677,16914,1844
2021-01-07,693087,88677,17179,1844
2021-01-08,703265,88677,17394,1844
2021-01-09,713310,88677,17667,1844
2021-01-10,720816,88677,17770,1844
2021-01-11,726066,88677,17853,1844
2021-01-12,733356,88677,18080,1844
2021-01-13,741384,96230,18429,1915
2021-01-14,748551,96230,18742,1915
2021-01-15,754611,96230,18957,1915
2021-01-16,761777,96230,19188,1915
2021-01-17,761777,96230,19310,1915
2021-01-18,771806,96230,19390,1915
2021-01-19,777186,96230,19467,1915
2021-01-20,783170,101986,19868,2003
2021-01-21,794160,101986,20128,2003
2021-01-22,794160,101986,20321,2003
2021-01-23,799957,101986,20526,2003
2021-01-24,803930,101986,20526,2003
2021-01-25,807846,101986,20664,2003
2021-01-26,812495,101986,20883,2003
2021-01-27,818369,106914,21105,2076
