Date,NY confirmed,OH confirmed,NY deaths,OH deaths
2020-11-17,568847,305365,33690,5742
2020-11-18,574141,305365,33722,5742
2020-11-19,579451,305365,33779,5742
2020-11-20,584919,305365,33821,5742
2020-11-21,590892,343286,33820,5742
2020-11-22,596283,351419,33876,5742
2020-11-23,602189,363304,33911,6020
2020-11-24,607070,371908,33961,6118
2020-11-25,613335,382743,34004,6273
2020-11-26,620268,382743,34075,6273
2020-11-27,628444,382743,34084,6273
2020-11-28,634507,414432,34158,6399
2020-11-29,641230,414432,34223,6399
2020-11-30,648049,421063,34274,6429
2020-12-01,655334,430093,34346,6548
2020-12-02,664307,437928,34414,6667
2020-12-03,674162,446849,34477,6752
2020-12-04,685433,456963,34539,6880
2020-12-05,696194,467432,34619,6943
2020-12-06,705896,475024,34683,6957
2020-12-07,713198,484297,34768,7015
2020-12-08,722533,510018,34845,7101
2020-12-09,733133,520112,34941,7186
2020-12-10,743311,531850,35019,7297
2020-12-11,753906,542209,35119,7421
2020-12-12,765035,553461,35210,7473
2020-12-13,775229,562727,35335,7492
2020-12-14,784273,570602,35426,7551
2020-12-15,794626,579353,35565,7654
2020-12-16,804624,584766,35663,7777
2020-12-17,815538,596178,35789,7894
2020-12-18,828235,605862,35919,7967
2020-12-19,838154,614429,36037,8023
2020-12-20,848111,622806,36164,8047
2020-12-21,857118,629354,36164,8122
2020-12-22,866834,637032,36164,8251
2020-12-23,878771,644821,36164,8361
2020-12-24,891339,653650,36694,8456
2020-12-25,903785,653650,36694,8456
2020-12-26,914591,664668,36694,8476
2020-12-27,922214,670525,36694,8509
2020-12-28,932621,675044,37271,8571
2020-12-29,944059,682570,37333,8722
2020-12-30,957481,690748,37333,8855
2020-12-31,974283,700380,37627,8962
2021-01-01,990780,700380,37802,8962
2021-01-02,1005854,714673,38009,9017
2021-01-03,1017222,721481,38155,9076
2021-01-04,1028431,727423,38323,9143
2021-01-05,1041097,735003,38472,9247
2021-01-06,1057745,742817,38643,9368
2021-01-07,1075381,753068,38839,9462
2021-01-08,1094213,762603,39004,9544
2021-01-09,1111156,770977,39199,9599
2021-01-10,1126511,777065,39367,9627
2021-01-11,1140225,784957,39563,9702
2021-01-12,1155439,792938,39748,9802
2021-01-13,1170016,799639,39921,9881
2021-01-14,1183677,807293,40159,9989
2021-01-15,1203619,814442,40366,10057
2021-01-16,1219617,821506,40540,10134
2021-01-17,1233459,826754,40734,10199
2021-01-18,1245644,831066,40918,10280
2021-01-19,1258156,836055,41099,10336
2021-01-20,1271520,842433,41314,10409
2021-01-21,1285406,849704,41510,10518
2021-01-22,1300550,853982,41698,10599
2021-01-23,1314336,859841,41862,10680
2021-01-24,1327056,864322,42059,10711
2021-01-25,1339059,868655,42266,10768
2021-01-26,1350123,872918,42449,10855
2021-01-27,1361151,878284,42610,10929
2021-01-28,1374549,883715,42813,11003
2021-01-29,1387128,888590,43001,11070
2021-01-30,1399932,892781,43173,11121
2021-01-31,1410725,895792,43358,11175
2021-02-01,1419164,899079,43383,11230
2021-02-02,1427379,902736,43546,11336
2021-02-03,1433304,906727,43867,11430
2021-02-04,1440718,910847,44022,11509
2021-02-05,1449495,914530,44192,11571
2021-02-06,1449495,918079,44390,11653
2021-02-07,1470772,920217,44658,11660
2021-02-08,1479220,922143,44693,11696
2021-02-09,1487086,925239,44865,11795
2021-02-10,1494187,928631,45033,11858
2021-02-11,1504286,931437,45174,12577
2021-02-12,1512690,934742,45321,15136
2021-02-13,1521453,937541,45480,16340
2021-02-14,1529769,939350,45616,16354
2021-02-15,1536134,941265,45737,16406
2021-02-16,1542887,943294,45868,16471
2021-02-17,1548979,945111,45993,16531
2021-02-18,1555773,947391,46145,16623
2021-02-19,1564483,949710,46308,16710
2021-02-20,1572175,952329,46422,16762
2021-02-21,1578785,953777,46535,16825
2021-02-22,1584931,955378,46643,16882
2021-02-23,1591585,958153,46643,16979
2021-02-24,1597774,960007,46871,17056
2021-02-25,1606520,962405,46981,17133
2021-02-26,1606520,964381,47106,17190
2021-02-27,1622865,966154,47254,17246
2021-02-28,1630445,967422,47254,17303
2021-03-01,1636680,968874,47439,17351
2021-03-02,1642480,970507,47537,17453
2021-03-03,1650184,972140,47656,17564
2021-03-04,1657777,973769,47758,17669
2021-03-05,1666733,975399,47866,17775
2021-03-06,1674380,977031,47900,17883
2021-03-07,1681169,978661,47910,17989
2021-03-08,1686478,980290,48115,18094
2021-03-09,1693328,983556,48194,18307
2021-03-10,1699817,983556,48287,18307
2021-03-11,1706564,984976,48404,18328
2021-03-12,1706564,986740,48473,18448
2021-03-13,1722463,988298,48580,18448
2021-03-14,1728406,990340,48580,18448
2021-03-15,1734213,990340,48735,18448
2021-03-16,1740721,992225,48822,18523
